lambda_mmd,source_macro_f1,target_accuracy_final_analysis_only,domain_separability
0.1,0.9555883495394161,0.7610078900483583,0.924863387978142
1.0,0.9505842269106024,0.6917790786459659,0.8483606557377049
10.0,0.050625574118375226,0.04072283023670145,0.4781420765027322
