epoch,classification_loss,alignment_or_domain_loss,mean_source_val_f1
1,1798.9607327300896,29282.73617293291,0.04497669929450249
2,148.5972468710353,778.693583953075,0.053612489180054235
3,94.88292626030425,218.21755021250146,0.08201335924064089
4,15.974343873496748,27.957711619189663,0.13367841094592636
5,17.26514934678363,30.125062555329414,0.03584726285345758
6,16.08243013956608,21.25803023653153,0.10241419587726869
7,2.3534799289499593,0.5887163086579397,0.07223237297481827
8,1.9581287956645346,0.5167378272511002,0.10289164422158632
9,1.9009933425829961,0.6686626631989439,0.13836046010592953
10,1.8591839156599126,0.6956419099090446,0.1683368691659027
11,1.8235443494258783,0.6950931355484531,0.20990637394751058
12,1.7991936767203176,0.6947465350485256,0.20120635990708505
13,1.892751971880595,0.9218107173458124,0.16621404994280786
14,1.9608863388371265,0.7173823047206442,0.09736444485472258
15,1.8246664394680252,0.6896177874161646,0.17119574222084114
16,1.7769255617744901,0.6923742266292245,0.21423673355948014
17,1.7279200166718574,0.69519359484697,0.24714736102613685
18,1.6857163585149324,0.6981696129864098,0.281341638850945
19,1.6469152264105968,0.7012136930074447,0.18714886262228167
20,1.638096357512678,0.699638315755078,0.3168694408502775
21,1.5880083727021503,0.7010656737873697,0.27884216166805215
22,1.5892970831985147,0.7089442322906266,0.2758940777422403
23,1.5873858714715028,0.7089277533893912,0.34022899614993557
24,1.5548048523756175,0.7231454041778532,0.31528246336075844
25,405492925.47619855,211923444.1991941,0.03640624007705121
26,62386.81034960299,29788.024663191576,0.022679951096904627
27,107266006.18228316,88839217.97734164,0.038044507707819385
28,1975581546.5553308,1354279418.9808562,0.03640624007705121
