epoch,classification_loss,alignment_or_domain_loss,mean_source_val_f1
1,0.8787382015178347,0.17818217399792793,0.8897082303298802
2,0.2653655834957703,0.13044578397375906,0.9311473768301068
3,0.16697311132318443,0.1215590299704136,0.9148747167707558
4,0.11284291785226291,0.11983647000076425,0.9386620924233952
5,0.1102596159435363,0.11820049061734453,0.9362318435726746
6,0.07251799271370356,0.11906407225845206,0.936822977676855
7,0.06285123355113544,0.11387922417404306,0.9083245238642338
8,0.056349927579395026,0.11239775225647494,0.9369536571517281
9,0.05359388921314325,0.11497388843797211,0.9505842269106024
10,0.044706767791102074,0.112222410674788,0.9356581411279666
11,0.0495903123026857,0.11216153955867147,0.9428988473236258
12,0.053688759020028204,0.11776464107709053,0.9329093054822274
13,0.06374170028994608,0.11780950350639148,0.9192035428647776
14,0.05753918233701689,0.109553937219147,0.9129692977353315
