method,photo_accuracy,art_painting_accuracy,cartoon_accuracy,photo_macro_f1,art_painting_macro_f1,cartoon_macro_f1,mean_source_accuracy,mean_source_macro_f1,target_accuracy,target_macro_f1,domain_separability,target_accuracy_change_vs_source_only
source_only,0.9525222551928784,0.9124087591240876,0.9575371549893843,0.9417801366961348,0.9140852625456815,0.9609507119154158,0.9408227231021167,0.9389387037190774,0.50827182489183,0.5188588504808137,1.0,0.0
dan,0.9554896142433235,0.9343065693430657,0.970276008492569,0.9471418169153359,0.933395792751812,0.9712150710646592,0.9533573973596527,0.9505842269106024,0.6917790786459659,0.6391161439592654,0.8483606557377049,0.1835072537541359
dann,0.5133531157270029,0.3260340632603406,0.4309978768577495,0.36666789686170026,0.27178988746429444,0.38222920412381195,0.4234616852816977,0.34022899614993557,0.26698905573937387,0.18337735476633357,0.9986338797814208,-0.2412827691524561
cdan,0.13649851632047477,0.15571776155717762,0.13588110403397027,0.06438242608455373,0.06702069859964598,0.05819212185328854,0.1426991273038742,0.06319841551249608,0.2043777042504454,0.07232727940041375,0.994535519125683,-0.30389412064138455
