rho,mean_source_f1,sharpness_proxy,checkpoint,sketch_accuracy_final_analysis_only
0.01,0.9541479980771537,0.26379966735839844,sam_rho_0.01.pt,0.6245864087554085
0.05,0.9523778325213957,0.11705885827541351,sam_rho_0.05.pt,0.760753372359379
0.1,0.9468716745585434,0.13330760598182678,sam_rho_0.10.pt,0.6314583863578519
