method,photo_accuracy,art_painting_accuracy,cartoon_accuracy,photo_macro_f1,art_painting_macro_f1,cartoon_macro_f1,mean_source_accuracy,worst_source_accuracy,mean_source_macro_f1,worst_source_macro_f1,source_domain_separability,sharpness_proxy,sketch_accuracy,sketch_macro_f1,sketch_accuracy_change_vs_erm
erm,0.9525222551928784,0.9124087591240876,0.9575371549893843,0.9417801366961348,0.9140852625456815,0.9609507119154158,0.9408227231021167,0.9124087591240876,0.9389387037190774,0.9140852625456815,0.8848684210526315,0.31300002336502075,0.50827182489183,0.5188588504808137,0.0
dan_dg,0.258160237388724,0.21897810218978103,0.17197452229299362,0.05862533692722372,0.05132591958939264,0.04192546583850932,0.2163709539571662,0.17197452229299362,0.050625574118375226,0.04192546583850932,0.3092105263157895,0.02582418918609619,0.04072283023670145,0.011179820424134438,-0.46754899465512856
sam,0.9584569732937686,0.9367396593673966,0.9660297239915074,0.950381011947799,0.9371230215769867,0.9696294640394019,0.9537421188842242,0.9367396593673966,0.9523778325213957,0.9371230215769867,0.8519736842105263,0.11705885827541351,0.760753372359379,0.7918295094168271,0.25248154746754903
