epoch,classification_loss,mmd_penalty,mean_source_f1
1,1.2070935293395295,0.0,0.8391757806916087
2,0.33776577504781574,0.0,0.9143440973721674
3,0.19741682613539135,0.0,0.9424634534936893
4,0.1355749894427056,0.0,0.9334457477455608
5,0.09505452941028544,0.0,0.9454314064667212
6,0.06947463238611817,0.0,0.9370229109707653
7,0.05441832726395442,0.0,0.9523778325213957
8,0.03752962062204989,0.0,0.9370638948832902
9,0.03313408117469213,0.0,0.9509975379599798
10,0.029271382520584248,0.0,0.9315573505195712
11,0.021510457069041908,0.0,0.9479818476550689
12,0.01907013379396576,0.0,0.9489006924598695
